name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species,cluster
Luke Skywalker,172.0,77.0,blond,fair,blue,19BBY,male,Tatooine,Human,0
C-3PO,167.0,75.0,,gold,yellow,112BBY,,Tatooine,Droid,0
R2-D2,96.0,32.0,,"white, blue",red,33BBY,,Naboo,Droid,1
Darth Vader,202.0,136.0,none,white,yellow,41.9BBY,male,Tatooine,Human,2
Leia Organa,150.0,49.0,brown,light,brown,19BBY,female,Alderaan,Human,3
Owen Lars,178.0,120.0,"brown, grey",light,blue,52BBY,male,Tatooine,Human,2
Beru Whitesun lars,165.0,75.0,brown,light,blue,47BBY,female,Tatooine,Human,0
R5-D4,97.0,32.0,,"white, red",red,,,Tatooine,Droid,1
Biggs Darklighter,183.0,84.0,black,light,brown,24BBY,male,Tatooine,Human,0
Obi-Wan Kenobi,182.0,77.0,"auburn, white",fair,blue-gray,57BBY,male,Stewjon,Human,0
Anakin Skywalker,188.0,84.0,blond,fair,blue,41.9BBY,male,Tatooine,Human,0
Chewbacca,228.0,112.0,brown,,blue,200BBY,male,Kashyyyk,Wookiee,2
Han Solo,180.0,80.0,brown,fair,brown,29BBY,male,Corellia,Human,0
Greedo,173.0,74.0,,green,black,44BBY,male,Rodia,Rodian,0
Wedge Antilles,170.0,77.0,brown,fair,hazel,21BBY,male,Corellia,Human,0
Jek Tono Porkins,180.0,110.0,brown,fair,blue,,male,Bestine IV,Human,0
Yoda,66.0,17.0,white,green,brown,896BBY,male,,Yoda's species,1
Palpatine,170.0,75.0,grey,pale,yellow,82BBY,male,Naboo,Human,0
Boba Fett,183.0,78.2,black,fair,brown,31.5BBY,male,Kamino,Human,0
IG-88,200.0,140.0,none,metal,red,15BBY,none,,Droid,2
Bossk,190.0,113.0,none,green,red,53BBY,male,Trandosha,Trandoshan,2
Lando Calrissian,177.0,79.0,black,dark,brown,31BBY,male,Socorro,Human,0
Lobot,175.0,79.0,none,light,blue,37BBY,male,Bespin,Human,0
Ackbar,180.0,83.0,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari,0
Wicket Systri Warrick,88.0,20.0,brown,brown,brown,8BBY,male,Endor,Ewok,1
Nien Nunb,160.0,68.0,none,grey,black,,male,Sullust,Sullustan,3
Qui-Gon Jinn,193.0,89.0,brown,fair,blue,92BBY,male,,Human,0
Nute Gunray,191.0,90.0,none,mottled green,red,,male,Cato Neimoidia,Neimodian,0
Jar Jar Binks,196.0,66.0,none,orange,orange,52BBY,male,Naboo,Gungan,0
Roos Tarpals,224.0,82.0,none,grey,orange,,male,Naboo,Gungan,0
Sebulba,112.0,40.0,none,"grey, red",orange,,male,Malastare,Dug,1
Darth Maul,175.0,80.0,none,red,yellow,54BBY,male,Dathomir,Zabrak,0
Ayla Secura,178.0,55.0,none,blue,hazel,48BBY,female,Ryloth,Twi'lek,3
Dud Bolt,94.0,45.0,none,"blue, grey",yellow,,male,Vulpter,Vulptereen,1
Ben Quadinaros,163.0,65.0,none,"grey, green, yellow",orange,,male,Tund,Toong,3
Mace Windu,188.0,84.0,none,dark,brown,72BBY,male,Haruun Kal,Human,0
Ki-Adi-Mundi,198.0,82.0,white,pale,yellow,92BBY,male,Cerea,Cerean,0
Kit Fisto,196.0,87.0,none,green,black,,male,Glee Anselm,Nautolan,0
Adi Gallia,184.0,50.0,none,dark,blue,,female,Coruscant,Tholothian,3
Plo Koon,188.0,80.0,none,orange,black,22BBY,male,Dorin,Kel Dor,0
Gregar Typho,185.0,85.0,black,dark,brown,,male,Naboo,Human,0
Poggle the Lesser,183.0,80.0,none,green,yellow,,male,Geonosis,Geonosian,0
Luminara Unduli,170.0,56.2,black,yellow,blue,58BBY,female,Mirial,Mirialan,3
Barriss Offee,166.0,50.0,black,yellow,blue,40BBY,female,Mirial,Mirialan,3
Dooku,193.0,80.0,white,fair,brown,102BBY,male,Serenno,Human,0
Jango Fett,183.0,79.0,black,tan,brown,66BBY,male,Concord Dawn,Human,0
Zam Wesell,168.0,55.0,blonde,"fair, green, yellow",yellow,,female,Zolan,Clawdite,3
Dexter Jettster,198.0,102.0,none,brown,yellow,,male,Ojom,Besalisk,0
Lama Su,229.0,88.0,none,grey,black,,male,Kamino,Kaminoan,0
Ratts Tyerell,79.0,15.0,none,"grey, blue",,,male,Aleen Minor,Aleena,1
Wat Tambor,193.0,48.0,none,"green, grey",,,male,Skako,Skakoan,3
Shaak Ti,178.0,57.0,none,"red, blue, white",black,,female,Shili,Togruta,3
Grievous,216.0,159.0,none,"brown, white","green, yellow",,male,Kalee,Kaleesh,2
Tarfful,234.0,136.0,brown,brown,blue,,male,Kashyyyk,Wookiee,2
Raymus Antilles,188.0,79.0,brown,light,brown,,male,Alderaan,Human,0
Sly Moore,178.0,48.0,none,pale,white,,female,Umbara,,3
Tion Medon,206.0,80.0,none,grey,black,,male,Utapau,Pau'an,0
Padmé Amidala,165.0,45.0,brown,light,brown,46BBY,female,Naboo,Human,3
